Logging to savedate/CartPole-v0dqn20010714/
episode_Q_value:462     	episode_loss:5.98    	episode_reward:95      	episodes:240	mean 100 episode reward:25.3    	step_used:95	steps:5709	
episode_Q_value:179     	episode_loss:2.32    	episode_reward:40      	episodes:241	mean 100 episode reward:25.7    	step_used:40	steps:5749	
episode_Q_value:110     	episode_loss:1.53    	episode_reward:24      	episodes:242	mean 100 episode reward:25.5    	step_used:24	steps:5773	
episode_Q_value:160     	episode_loss:1.75    	episode_reward:34      	episodes:243	mean 100 episode reward:25.4    	step_used:34	steps:5807	
episode_Q_value:180     	episode_loss:2.32    	episode_reward:39      	episodes:244	mean 100 episode reward:25.6    	step_used:39	steps:5846	
episode_Q_value:176     	episode_loss:2.08    	episode_reward:38      	episodes:245	mean 100 episode reward:25.8    	step_used:38	steps:5884	
episode_Q_value:126     	episode_loss:1.25    	episode_reward:27      	episodes:246	mean 100 episode reward:25.9    	step_used:27	steps:5911	
episode_Q_value:101     	episode_loss:1.13    	episode_reward:22      	episodes:247	mean 100 episode reward:26      	step_used:22	steps:5933	
episode_Q_value:78.7    	episode_loss:1.58    	episode_reward:18      	episodes:248	mean 100 episode reward:26.1    	step_used:18	steps:5951	
episode_Q_value:53.1    	episode_loss:0.956   	episode_reward:13      	episodes:249	mean 100 episode reward:25.9    	step_used:13	steps:5964	
episode_Q_value:332     	episode_loss:9.06    	episode_reward:69      	episodes:250	mean 100 episode reward:25.8    	step_used:69	steps:6033	
episode_Q_value:282     	episode_loss:3.8     	episode_reward:51      	episodes:251	mean 100 episode reward:26.1    	step_used:51	steps:6084	
episode_Q_value:142     	episode_loss:1.65    	episode_reward:26      	episodes:252	mean 100 episode reward:26      	step_used:26	steps:6110	
